token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44
263,content,-0.98655087,-0.39655545,0.75741285,0.0035268855,-0.4237172,-0.2758771,0.3805566,-0.06511744,-0.36492383,-0.0076885056,0.15153302,-0.97758,1.0709404,0.54435086,0.14591971,-0.1656854,0.19088484,0.18134499,0.24515869,1.068311,0.13857915,0.17592274,-0.760371,-0.95199025,-0.20223016,0.024474323,-0.5199971,-0.100679174,0.14671351,-0.14738134,-0.090991266,-1.1474267,-0.32213455,0.2633072,-0.33139068,0.61648875,0.5395516,0.03750372,0.5866859,-0.47849974,0.07831032,-0.42157155,0.5161904,0.2451819,-0.3672735
264,content,-0.9167401,-0.27534726,0.70439607,-0.5503547,0.054604337,-0.27449676,-0.20989937,-0.44314837,-0.21946165,0.18988256,0.15031987,-1.3195546,0.869022,0.12536265,0.49639404,-0.15041241,0.06540174,-0.884827,-0.19878756,1.429261,0.36756134,-0.13501573,-0.0790119,-0.11215475,-0.51402396,0.014945337,0.076536916,0.652251,-0.18757524,-0.5727562,0.7644631,0.5677199,-0.71802217,0.12626062,0.84800565,-0.22294766,-0.44104925,0.795577,0.23001972,-0.71942854,-0.51843864,-0.54891145,-0.09841732,0.22691076,0.2895696
265,content,-0.9009729,-0.20851584,1.2455039,0.47874478,0.31640646,-0.24859256,0.18480782,-0.52708375,0.015030793,0.52293223,0.14253785,-0.257194,0.34299666,0.5217,0.008547814,-0.22798228,0.18136983,0.055901833,0.09323894,-0.038253076,-0.23219207,-0.03989822,0.964321,-0.22996971,0.16505034,0.03029786,-0.7391552,-0.65696985,0.35332835,0.050604526,-0.9688542,-0.4815553,0.946687,0.64369524,-0.7026872,0.37080798,-0.29751366,-0.27629858,-0.8818881,-0.9822176,-0.7519719,0.15697584,0.8255703,-0.11559545,-0.16231324
266,content,-1.2183993,0.14703228,0.5214383,-1.0065136,-0.5716634,-0.34187573,0.7425591,0.27404788,0.046837755,0.48549035,0.18052232,-0.07715345,-0.032821007,0.8031641,0.3905514,-0.2733442,0.18430513,-0.0018266656,-0.0020244077,1.4847258,0.21772729,0.014912961,-0.20594893,-0.5809691,-0.98207986,0.024754584,-0.6296576,0.24671976,0.9502773,-0.038436797,-0.07790486,0.8382753,0.05401033,-0.0512204,-0.75928587,-1.4664341,-0.48874822,0.4955515,0.24574766,0.40779182,-1.1378422,-0.66229784,-0.74941534,-0.15025578,1.0994118
267,content,-1.1785426,0.37788808,0.69896126,0.21906236,-0.38211393,-0.30456114,0.7238482,-0.04592708,-0.014587011,-0.5546663,0.17303191,0.24125594,-0.497801,0.43868658,-0.2252891,-0.30545455,0.17007224,0.40212756,-0.42438078,1.3730592,0.34894425,0.6045319,-0.005546468,0.8073169,1.6448667,0.0129855005,-1.2346144,0.83876866,-0.32880455,-0.13449611,-0.5629927,-1.8242702,-0.35450274,-0.33927554,0.8946763,-0.16233622,-0.029706897,-0.78231806,-0.2447205,-0.9429473,-0.27096748,-0.25313452,-0.11469588,-0.99834436,0.024355493
268,content,-1.3330911,0.20478281,0.6394317,0.18946414,-0.4810125,-0.26550785,0.6459233,-0.004428695,0.3408499,0.2545194,0.1610356,-0.8364557,-0.17630422,0.40342024,-0.0064945607,-0.17659727,0.020854976,-0.0008590589,1.3254428,1.1870483,0.11922535,-0.7208951,0.040568113,-0.70609975,-0.07226464,0.032491818,-0.63766617,-0.090765245,0.5949102,0.023850309,0.84850454,-0.1156383,0.14296615,0.04229582,-0.94078356,0.6383473,0.22154316,-1.2060168,-0.59236485,-1.0188212,-0.35496247,0.31059167,0.4341371,-0.033178408,-0.21624435
269,content,-1.1311458,0.04055391,1.1886699,-0.7691069,0.13619474,-0.24025472,-0.15676086,-0.5221864,0.13972569,0.008379595,0.17503436,0.1661956,0.057837907,-0.6829489,0.43880168,-0.27411348,0.13669135,0.24743032,-0.05893488,1.6826462,0.051511284,1.0043356,0.64587414,-0.2494061,-0.38930285,0.025706774,-1.5952035,0.5614304,-0.4282178,0.109084405,0.85799134,-0.7083466,0.58379406,0.24914849,-0.7206424,-0.6447648,-1.4866338,0.55041057,0.021127569,-0.5662383,-0.42989781,0.040341757,-0.45953223,0.63191366,-0.20609087
270,content,-1.0049224,0.49688214,0.96988714,0.17708026,0.7998204,-0.28401923,0.34440368,-0.30959842,0.03875136,0.643995,0.16245581,-0.12626404,-0.3031847,-0.26314828,-0.15079279,-0.23593433,0.15780108,-0.1518382,0.7653395,1.161636,-0.016925313,-0.42203265,-0.24313056,0.21676084,-0.24674697,0.027416138,-0.711865,-0.7452722,0.27218577,-0.06897697,-0.9672172,-0.41225561,1.3256236,-0.9243623,-0.50828964,0.03818048,-0.8188936,-0.70391214,-0.2688896,-0.090143934,0.12284168,0.009709738,0.94601876,0.088531,-0.16241372
271,function,-1.2736431,0.6457682,0.6924396,-0.37337708,0.047900125,-0.27926335,0.41877168,-0.11319494,0.14588383,0.27329043,0.16155721,-0.6902162,-0.62602705,0.07281927,-0.11081293,-0.2256173,0.10361538,-0.020471593,-0.3535915,0.9859394,0.09112617,-0.5776251,-0.0025619238,0.0445592,0.30724046,0.027832381,-0.7431742,0.30784127,0.6796837,0.0021449975,0.47402382,0.24509905,0.2889795,-0.6444238,-0.49339473,-0.09799055,-1.0863633,-1.2001263,-0.6619829,0.8031109,-0.36402103,0.38365376,1.5144145,0.12801516,-0.38414413
272,function,-1.1793017,0.37458202,0.5853593,0.26613736,-0.6339069,-0.30583823,0.5463237,-0.24477738,-0.29512057,0.5772897,0.16812745,0.7517749,-0.93875897,0.062038857,0.032941476,-0.16098605,0.32296345,-0.0050118864,0.098290175,0.6684186,0.11460163,-0.46997622,0.046648882,-0.28379875,-0.005788532,0.020781185,-0.45337197,-0.47453728,0.27350235,0.048283614,0.13013992,0.44214582,0.31167254,-0.8098015,-0.7682648,0.66160786,-0.1387752,-1.2824079,-0.6415644,0.5045098,-1.2175395,0.22420435,1.1360736,0.016848275,-0.06815127
