token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49
10,punct,-0.01811087,0.017182164,0.011388021,-0.007960878,-0.029877096,-0.030606879,0.015370056,0.0055119037,0.031150954,-0.034566768,0.02129074,-0.02789765,0.015680334,-0.001953943,0.022063041,-0.02443094,-0.006212446,0.016375376,0.016846482,-0.0047229826,0.030471148,-0.052004084,-0.0225879,-0.02782442,-0.0071723596,0.020156035,-0.008236657,-0.0111248465,0.001873694,0.006410161,0.006279429,0.025288165,-0.01788892,0.0042449324,-0.0032695492,-0.01703556,-0.053814776,-0.008656416,-0.0065649804,-0.0066449004,0.009171775,0.01165526,-0.03899414,-0.030363007,0.011055793,-0.01107979,0.000614555,-0.016936325,0.0007990911,0.019808384
11,punct,0.15200353,-0.18858047,-0.24439614,-0.30868584,-0.2826641,-0.25650495,-0.15942599,-0.11618265,-0.3269921,-0.43807366,-0.27306268,-0.049146406,0.6090874,-0.10040073,-0.043367125,-0.24377522,-0.31456545,0.4237831,0.29477426,0.05390365,-0.008639026,-0.15072697,-0.07646128,-0.22528867,0.51416606,1.4607488,-0.18706243,0.9390541,-0.07391605,-0.0040811747,0.16084251,0.4430164,-0.14968783,-0.4026292,0.027291628,0.14078309,0.39197156,-0.4556332,-0.12086258,-0.034259357,-0.074642465,-0.17677453,0.10227088,-0.4891669,-0.42906058,-0.033011854,-0.16232039,0.29174367,0.15183435,0.12870976
12,punct,0.20013995,0.01064583,0.074952334,-0.07080646,-0.20072585,-0.082682356,-0.0555091,-0.27359733,-0.29891476,-0.25995266,-0.6427923,0.00025842548,0.004820041,0.34314194,0.18213913,-0.021631436,0.47311544,0.3681215,0.68050015,0.055724148,-0.22390522,0.4057962,-0.09721887,-0.19385079,-0.25858846,0.8975598,0.13022709,0.9442679,-0.7187659,0.06079347,-0.26653075,-0.33574623,-0.13419935,-0.2529811,-0.72153896,-0.10636847,0.001294078,-0.24604747,0.18472669,0.06282942,-0.070372775,0.77811986,0.4319789,-0.30345187,-0.45628902,0.14222786,0.007520555,0.08534866,-0.23967145,-0.13551256
13,punct,-0.0631041,0.09165012,-0.021421712,0.22614796,-0.37922886,-0.15145597,-0.24201089,-0.27082488,0.4847054,-0.36999282,-0.8191433,0.30464962,0.2967067,-0.24054056,-0.13595116,0.11332643,0.22821485,0.42369208,0.5615219,0.08006075,0.022085555,0.16886047,-0.11159392,-0.04017983,0.43126136,0.33370593,-0.21116005,-0.8882391,-0.025065813,-0.14888991,0.30810642,0.084302545,0.31160453,-0.1964876,0.10060307,-0.11020121,0.74753475,0.10360129,-0.14512227,0.3172439,-0.09786725,0.1264842,0.028833997,0.0009518277,-0.32474124,-0.00795333,-0.15629368,0.1042031,-0.4566612,-0.14396958
14,punct,0.01053878,-0.003705374,0.014135665,-0.009121165,0.028387789,0.00040506697,0.0049721645,-0.020394912,0.00031859707,-0.045547538,-0.028390367,0.044037096,-0.014487634,0.033144977,-0.0007930868,0.006300806,-0.023292689,0.017581375,0.026631836,-0.013764221,-0.0066818814,0.004368374,0.01209093,0.016044239,0.02101372,0.0029950654,-0.0032372002,-0.018037783,-0.02751217,-0.023280947,-0.027963998,-0.03708268,0.0011338203,-0.022402538,-0.009214665,0.003186155,0.012885202,-0.031399954,-0.0016741535,0.015507439,-0.014895518,-0.008425927,0.0036172299,-0.01667858,0.01717452,0.011992701,-0.007823748,0.007650263,-0.021530887,-0.032920923
15,digit,0.078854986,0.007800903,-0.006714279,0.28260392,0.08462544,0.06264641,-0.26062262,-0.39592955,-0.33100328,-0.12774251,-0.1765652,-0.09238244,0.45479944,-0.015927365,-0.401128,-0.4350853,0.2042208,-0.05971142,-0.12162556,0.13952215,0.045429233,-0.4352916,-0.17442271,-0.13114223,0.24406274,-0.17211804,-0.08808409,-0.13806626,-0.524266,-0.22558978,-0.24467517,0.029038634,-0.087146446,-0.057302453,-0.0132788,0.4929103,1.179272,-0.06585403,-0.593504,0.38415954,-0.16395862,-0.0418544,0.7803506,0.34795174,0.15127426,0.18924265,-0.055161033,0.46827373,-0.115651175,0.3568339
16,digit,0.17001991,-0.030974725,-0.005267179,0.014804429,-0.102381095,0.041567065,-0.06545674,-0.4374239,-0.37604198,0.014458303,-0.35400718,-0.21593046,0.21104233,-0.40614638,-0.32559267,-0.33688676,0.4599234,0.33379927,-0.12581706,0.06546447,0.22721395,-0.32004702,-0.11412969,0.09072413,0.25184417,-0.06839411,0.13771132,0.02982687,-0.70665187,-0.44399342,-0.52599293,-0.017849289,-0.114675365,0.33120066,0.14264622,0.4437722,1.1124173,0.19378754,-0.39640346,0.18757407,-0.096851766,-0.089028575,0.27258208,0.31377283,-0.026512377,-0.07472179,-0.13252605,0.34645784,0.04052065,0.4481106
17,digit,0.09763688,0.07233456,0.01462506,0.06991271,0.17262942,0.06772016,-0.55073416,-0.25378457,-0.30546546,-0.04498325,-0.44567817,-0.4550544,-0.019025737,-0.22309516,-0.37537,-0.47769114,0.2888283,0.6358741,0.29450956,0.122647226,0.17419243,-0.34060115,-0.16854689,-0.07909254,0.048339397,0.042854115,0.10388504,0.28574735,-0.524637,-0.45111492,0.0539208,0.040007267,-0.15837695,0.13534525,0.24435483,0.35488585,0.69506586,0.10856334,-0.6201986,-0.29644752,-0.16297142,-0.07320369,0.4742154,0.51619905,0.24224794,-0.02446718,0.13090298,0.34424093,-0.025417505,-0.002458388
18,digit,0.4605284,0.14106283,0.0042227474,0.045391034,-0.067516305,0.18629307,-0.4054446,-0.5930594,-0.5318859,-0.13126153,-0.42447582,-0.021952033,0.11507359,-0.017149307,-0.23348159,-0.4336291,0.18636106,0.8076147,0.3305241,0.08776004,0.3456484,-0.0804309,-0.12584819,0.26197618,0.1736909,-0.13021116,0.24498025,0.052079376,-0.5459445,-0.613287,-0.48497796,-0.062136233,-0.054236617,0.007694312,0.112776846,0.4026755,0.71036214,0.09638621,-0.42343602,0.12133153,-0.116341345,-0.17215104,0.20129554,0.24550529,0.15677272,-0.46184596,-0.039329853,0.24466906,0.092809886,0.28138304
19,digit,0.16680935,0.01668322,-0.053586703,0.12778172,0.004125057,0.21437867,-0.1845877,-0.5188476,-0.4778479,-0.1131607,-0.32311708,-0.3125803,0.15887605,-0.07133988,-0.54866177,-0.44048464,0.3842436,0.4329975,0.11634066,0.0813892,0.14090651,-0.20144615,-0.115490384,-0.03700429,0.14847739,-0.25402614,0.13404295,0.06424703,-0.5388243,-0.48624316,-0.080843516,0.0021133386,-0.18127596,0.03528024,-0.0019474279,0.57987237,0.9461881,0.18501431,-0.3860157,-0.037442636,-0.1040996,-0.1713179,0.49089763,0.47469893,0.25056237,0.23007248,0.05390491,0.36884302,-0.14547138,0.04573775
