step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss
50,0.00016859710350176183,8.864874839782715,8.255514144897461,3848.79020293909,11.910189316832259,,,,0.289827621238223,0.21188688278198242,0.009398514404892921,0.0021435958333313465,0.01,1259.9135848173244,0.40637707710266113,0
100,0.00033719420700352367,8.270148277282715,7.915907859802246,2740.533421467496,11.420241013470669,,,,0.5219795388187671,0.46825841069221497,0.014003496617078781,0.010146268643438816,0.009999845027923584,1310.3097284602661,0.3907473087310791,0
150,0.0005057913105052856,8.433886528015137,7.924434661865234,2764.001318366605,11.432542588521583,,,,0.5707232742298455,0.5439603924751282,0.024178076535463333,0.06584005057811737,0.009999380111694336,1310.3113274607347,0.3907468318939209,0
200,0.0006743884140070473,8.108409881591797,7.621217727661133,2041.0460553810933,10.99509302123177,,,,0.7806167618297781,0.5818043947219849,0.025924386456608772,0.068590447306633,0.009998605251312256,1310.3097284602661,0.3907473087310791,0
250,0.0008429855175088092,8.328012466430664,7.704308032989502,2217.882149876649,11.11496699267496,,,,0.6292091784297565,0.5970130562782288,0.026736333966255188,0.09411612153053284,0.009997520446777344,1310.3105279600125,0.3907470703125,0
300,0.0010115826210105711,8.638080596923828,7.874431610107422,2629.191359721565,11.360403433721274,,,,0.5937629116985326,0.5416746735572815,0.027535559609532356,0.1388375163078308,0.0099961256980896,1259.9135848173244,0.40637707710266113,0
350,0.0011801797245123329,8.003662109375,7.4502854347229,1720.3541241041046,10.748489849882004,,,,0.5585589909934449,0.4761258363723755,0.02821987494826317,0.10003262758255005,0.009994421601295472,1310.3105279600125,0.3907470703125,0
400,0.0013487768280140947,8.897622108459473,8.07492446899414,3212.8846871082296,11.649653486970793,,,,0.6695521285055444,0.5880443453788757,0.030739188194274902,0.12442340701818466,0.00999240756034851,1259.9143240002159,0.40637683868408203,0
450,0.0015173739315158565,8.31814193725586,7.582642078399658,1963.8106588764094,10.93944012334317,,,,0.47397649625397725,0.4315629303455353,0.02546771802008152,0.11317102611064911,0.009990084171295167,1259.9113672738538,0.40637779235839844,0
500,0.0016859710350176184,7.752224922180176,7.100204944610596,1212.2154860671506,10.243430462885003,8.539602470397949,2153.593994140625,11.072530342367621,0.6490515233482861,0.4319233000278473,0.02229049615561962,0.07546451687812805,0.009987451434135437,1310.3129264651056,0.3907463550567627,0
550,0.0018545681385193802,8.238476753234863,7.598410606384277,1995.02249786218,10.9621893004687,,,,0.6162917028934066,0.5452618598937988,0.03178839758038521,0.1006706953048706,0.009984509348869323,1310.3089289614952,0.3907475471496582,0
600,0.0020231652420211422,8.16356372833252,7.431515216827393,1688.3638735550237,10.721410149607749,,,,0.554764189601961,0.503060519695282,0.027605963870882988,0.08397172391414642,0.00998125821352005,1310.3097284602661,0.3907473087310791,0
650,0.002191762345522904,8.132379531860352,7.369868755340576,1587.4254282623288,10.632473105332366,,,,0.5276720627338147,0.4642915427684784,0.028705241158604622,0.08464842289686203,0.009977698624134064,1310.3129264651056,0.3907463550567627,0
700,0.0023603594490246658,8.472275733947754,7.527428150177002,1858.320032391306,10.859783262908344,,,,0.4806618841356209,0.4335624873638153,0.03391184285283089,0.1380775421857834,0.009973830282688141,1267.3901702889611,0.4039797782897949,0
750,0.0025289565525264276,7.847408294677734,7.002190113067627,1099.0375410129138,10.102024951484395,,,,0.4910304860637771,0.4774104356765747,0.03179669380187988,0.08561433851718903,0.009969653487205505,1320.7302713068163,0.3876643180847168,0
800,0.0026975536560281893,8.341830253601074,7.457924842834473,1733.5469398447442,10.759511186079896,,,,0.6614896169991867,0.6391100287437439,0.04348423704504967,0.14752022922039032,0.009965168535709381,1252.986563914179,0.40862369537353516,0
850,0.002866150759529951,8.314995765686035,7.531774044036865,1866.4136683124982,10.866053062428199,,,,0.5659236269617992,0.554122269153595,0.032681338489055634,0.07964235544204712,0.009960376024246216,1310.3113274607347,0.3907468318939209,0
900,0.003034747863031713,7.829423427581787,7.072380542755127,1178.9512401830402,10.203288336312417,,,,0.4565312378682435,0.3989086449146271,0.031374067068099976,0.07238680124282837,0.009955275654792786,1259.9135848173244,0.40637707710266113,0
