step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss
1000,2.5676099851784714e-05,7.651000499725342,7.651000499725342,2102.7483364789555,11.038060478792731,,,,0.5337683690048324,0.0,0.0,0.0,0.0,0,0.0,0
2000,5.135219970356943e-05,7.864766597747803,7.864766597747803,2603.902597689675,11.34645976831992,,,,1.3278226647732154,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
3000,7.702829955535414e-05,7.296416282653809,7.296416282653809,1475.0044454795345,10.526503587246134,,,,0.39077719327574145,0.0,0.0,0.0,0.0,24567.003294691884,0.015630722045898438,0
4000,0.00010270439940713886,7.497523307800293,7.497523307800293,1803.569990606227,10.816639695112901,,,,1.1322941657910843,0.0,0.0,0.0,0.0,0,0.0,0
5000,0.00012838049925892358,7.321375370025635,7.321375370025635,1512.2824880741098,10.562511938822583,,,,1.3467121221874727,0.0,0.0,0.0,0.0,35287.95267516761,0.010881900787353516,0
6000,0.00015405659911070827,7.59517240524292,7.59517240524292,1988.5726623010585,10.95751756374066,,,,0.6848200550260258,0.0,0.0,0.0,0.0,24567.752768540835,0.015630245208740234,0
7000,0.000179732698962493,7.102143287658691,7.102143287658691,1214.5674542515567,10.246226900788033,,,,1.0931643822196073,0.0,0.0,0.0,0.0,18716.52046994294,0.020516633987426758,0
8000,0.00020540879881427771,7.451066970825195,7.451066970825195,1721.6991684927357,10.74961736814106,,,,1.4268430909348078,0.0,0.0,0.0,0.0,28963.687526974536,0.013257980346679688,0
9000,0.00023108489866606244,7.249649524688721,7.249649524688721,1407.6114286904367,10.45903341745145,,,,1.5848983230158546,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
10000,0.00025676099851784716,7.216598033905029,7.216598033905029,1361.8482097392507,10.411350195603829,,,,0.6121007449786499,0.0,0.0,0.0,0.0,34901.03007714311,0.011002540588378906,0
11000,0.00028243709836963185,7.276873588562012,7.276873588562012,1446.4587234758646,10.498309439394289,,,,0.7812738917083955,0.0,0.0,0.0,0.0,0,0.0,0
12000,0.00030811319822141654,7.778059482574463,7.778059482574463,2387.6370708338372,11.221367843249554,,,,1.821563142549346,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
13000,0.0003337892980732013,7.72971773147583,7.72971773147583,2274.959960558869,11.151625438671669,,,,0.8849361663232785,0.0,0.0,0.0,0.0,0,0.0,0
14000,0.000359465397924986,7.475249290466309,7.475249290466309,1763.8413422142764,10.784505080764486,,,,2.081507514665478,0.0,0.0,0.0,0.0,38391.79862700229,0.01000213623046875,0
