step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss
50,4.214916928202262e-05,9.443205833435059,8.107483863830566,3319.2159149778404,11.696626764435651,,,,1.1437533166230156,0.8150693774223328,0.16753774881362915,0.05521687865257263,0.01,221.33521218040394,0.5783083438873291,0
100,8.429833856404525e-05,10.571969032287598,8.813846588134766,6726.744581393457,12.715692763858137,,,,1.8632825545227438,1.4152635335922241,0.3583025336265564,0.05950786918401718,0.009999987483024598,221.33566842953238,0.5783071517944336,0
150,0.00012644750784606787,9.536916732788086,7.859735488891602,2590.834980136964,11.339201412522906,,,,1.6590303952990133,1.1706914901733398,0.26615092158317566,0.08425436913967133,0.009999949634075165,227.4838189183234,0.5626773834228516,0
200,0.0001685966771280905,11.912311553955078,8.35836410522461,4265.710801423722,12.058570444551862,,,,2.3128225191009957,1.5862417221069336,0.48764684796333313,0.1254667192697525,0.009999886453151703,221.33603343018942,0.5783061981201172,0
250,0.00021074584641011312,10.389327049255371,7.558836936950684,1917.6139099958343,10.905096563827074,,,,1.7542095355120175,1.1969612836837769,0.3519141674041748,0.1045474037528038,0.009999798238277435,221.3358509297104,0.5783066749572754,0
300,0.00025289501569213574,12.129058837890625,8.600346565246582,5433.542342037742,12.407677339607675,,,,2.0617003012847706,1.4802461862564087,0.48114168643951416,0.10065996646881104,0.009999684989452362,221.33575967958376,0.5783069133758545,0
350,0.00029504418497415833,16.591449737548828,10.32105541229248,30365.288589141204,14.890135460054557,,,,2.775006579077828,2.120185613632202,0.6563143134117126,0.16297368705272675,0.009999546110630036,181.98711682416123,0.7033464908599854,0
400,0.000337193354256181,11.081482887268066,7.3695549964904785,1586.9274376139135,10.632020446995297,,,,2.195236973507544,1.4404042959213257,0.39081722497940063,0.1514350324869156,0.009999382197856904,215.51118820175896,0.5939366817474365,0
450,0.0003793425235382036,11.061016082763672,7.347430229187012,1552.2025933666623,10.600101154925762,,,,1.8835473846790873,1.2981386184692383,0.4520128071308136,0.1170894056558609,0.009999193251132965,221.33575967958376,0.5783069133758545,0
500,0.00042149169282022623,13.964879989624023,8.132890701293945,3404.6271140477847,11.73328108284874,12.19703426361084,2160.50390625,11.077151997747729,2.3849234799824943,1.6856627464294434,0.5871958136558533,0.15666133165359497,0.009998978972434997,215.5116207560697,0.593935489654541,0
550,0.00046364086210224883,12.493460655212402,8.082483291625977,3237.262329663186,11.660558562896702,,,,2.446519190775479,1.8186233043670654,0.5391984581947327,0.18680289387702942,0.009998739361763001,228.44277834488517,0.5603153705596924,0
600,0.0005057900313842715,10.647089004516602,6.460039138793945,639.086069138042,9.319866429486636,,,,1.90972915074998,1.2934820652008057,0.40626659989356995,0.16321353614330292,0.009998474717140198,227.48401169811672,0.5626769065856934,0
650,0.000547939200666294,13.105722427368164,8.163414001464844,3510.1498275649847,11.77731689663686,,,,2.3090733118766704,1.5422593355178833,0.5009221434593201,0.16700026392936707,0.009998184740543366,227.48362613885686,0.5626778602600098,0
700,0.0005900883699483167,12.243953704833984,7.310258865356445,1495.564288868667,10.546474212664325,,,,2.5552292938248793,1.802178978919983,0.5285513997077942,0.20656128227710724,0.009997869729995728,221.33594217991228,0.5783064365386963,0
750,0.0006322375392303393,12.445279121398926,6.957596302032471,1051.1039817878855,10.037689681449637,,,,2.188206497245265,1.5383033752441406,0.5864983201026917,0.16448675096035004,0.00999752938747406,227.48401169811672,0.5626769065856934,0
800,0.000674386708512362,12.995465278625488,7.143929481506348,1266.394900140909,10.306511635429672,,,,2.218482500650208,1.5195868015289307,0.622144877910614,0.1891007423400879,0.009997163712978364,221.33256597255146,0.578315258026123,0
850,0.0007165358777943845,14.757761001586914,8.10421371459961,3308.3793119177826,11.691908936357182,,,,2.4840335878314206,1.7675831317901611,0.5593183636665344,0.22139523923397064,0.00999677300453186,227.48420447823676,0.5626764297485352,0
900,0.0007586850470764072,13.09607219696045,7.553689002990723,1907.76752623823,10.897669665032215,,,,2.2996321971227727,1.6890348196029663,0.5048784613609314,0.1750538945198059,0.009996356964111329,221.33566842953238,0.5783071517944336,0
950,0.0008008342163584298,13.636102676391602,7.362398147583008,1575.6105825312852,10.621695296568097,,,,2.2110256929508503,1.547352910041809,0.5591341257095337,0.1771714687347412,0.009995915889739991,227.4835297492461,0.5626780986785889,0
1000,0.0008429833856404525,11.318588256835938,7.2121992111206055,1355.870837145034,10.405004035786991,14.101298904418945,1210.2073974609375,10.241038803349046,2.0810438738393158,1.3907508850097656,0.5197674036026001,0.17127297818660736,0.009995449483394623,225.2050874190409,0.5683708190917969,0
1050,0.000885132554922475,12.86208724975586,7.788690090179443,2413.1544961955174,11.236704568122896,,,,2.151316785264036,1.477239727973938,0.46891650557518005,0.14235025644302368,0.00999495804309845,227.48034893791555,0.5626859664916992,0
1100,0.0009272817242044977,12.955974578857422,7.170160293579102,1300.0529762477026,10.344354697925525,,,,2.1674855385016825,1.4783380031585693,0.6051065325737,0.25716638565063477,0.009994441568851471,227.48401169811672,0.5626769065856934,0
1150,0.0009694308934865203,12.747178077697754,7.805080890655518,2453.0339654470595,11.26035149468593,,,,2.1889271191006654,1.490485429763794,0.588595986366272,0.18922947347164154,0.009993899464607239,221.33575967958376,0.5783069133758545,0
